ids,level,vendor_value,default_skin,chat_link,name,icon,description,type,rarity,flags,game_types,restrictions
24,0,0,0,[&AgEYAAAA],Sealed Package of Snowballs,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,[Ljava.lang.String;@780c1167,[Ljava.lang.String;@76520483,[Ljava.lang.String;@187a3b47
46,0,0,3265,[&AgEuAAAA],Gladiator Weapon,https://render.guildwars2.com/file/4AECE5EA59CA057F4C53E1EDFE95E0E3E61DE37F/60980.png,,Weapon,Basic,[Ljava.lang.String;@7f3c12a6,[Ljava.lang.String;@6723b30f,[Ljava.lang.String;@1b3c574
56,0,16,2329,[&AgE4AAAA],Strong Back Brace,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,This equipment goes under armor and can hold an additional upgrade.,Back,Basic,[Ljava.lang.String;@485a6606,[Ljava.lang.String;@576ce489,[Ljava.lang.String;@2d2d8ea0
57,0,16,2329,[&AgE5AAAA],Hearty Back Brace,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,This equipment goes under armor and can hold an additional upgrade.,Back,Basic,[Ljava.lang.String;@322a7614,[Ljava.lang.String;@29db5c01,[Ljava.lang.String;@1923bd1f
58,0,16,2329,[&AgE6AAAA],Enduring Back Brace,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,This equipment goes under armor and can hold an additional upgrade.,Back,Basic,[Ljava.lang.String;@583a7815,[Ljava.lang.String;@39412fd0,[Ljava.lang.String;@4a8947ad
59,80,132,2329,[&AgE7AAAA],Berserkers Spineguard of Ruby,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,This equipment goes under armor and can hold an additional upgrade.,Back,Masterwork,[Ljava.lang.String;@4ec6d0a6,[Ljava.lang.String;@4537f3bb,[Ljava.lang.String;@75386b62
60,80,132,2329,[&AgE8AAAA],Clerics Spineguard of Sapphire,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,This equipment goes under armor and can hold an additional upgrade.,Back,Masterwork,[Ljava.lang.String;@750cfe47,[Ljava.lang.String;@d3743a0,[Ljava.lang.String;@7767d396
61,80,132,2329,[&AgE9AAAA],Rampagers Spineguard of Coral,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,This equipment goes under armor and can hold an additional upgrade.,Back,Masterwork,[Ljava.lang.String;@41b2c563,[Ljava.lang.String;@53dee5d4,[Ljava.lang.String;@64c3864c
68,0,6,13,[&AgFEAAAA],Mighty Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Basic,[Ljava.lang.String;@2d711221,[Ljava.lang.String;@7abf5331,[Ljava.lang.String;@5eebe9f7
69,0,7,13,[&AgFFAAAA],Mighty Country Coat,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,,Armor,Basic,[Ljava.lang.String;@2662e580,[Ljava.lang.String;@3270b77,[Ljava.lang.String;@381f6f9
